City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Rocha,UY,2020-06-14 01:59:53,-34.48,-54.33,42.62,70,5,9.89
285,Vanimo,PG,2020-06-14 01:58:26,-2.67,141.3,87.24,62,86,6.08
286,Taguatinga,BR,2020-06-14 01:59:54,-12.39,-46.57,72.25,50,83,5.3
287,Ilulissat,GL,2020-06-14 01:59:54,69.22,-51.1,39.2,80,100,8.05
288,Dingle,PH,2020-06-14 01:59:54,11.0,122.67,84.15,72,100,7.96
289,Volksrust,ZA,2020-06-14 01:59:55,-27.37,29.88,30.18,78,0,3.06
290,De-Kastri,RU,2020-06-14 01:59:55,51.47,140.78,44.46,91,100,6.26
291,Broome,US,2020-06-14 01:59:55,42.25,-75.83,51.01,61,1,5.82
292,Belyy Yar,RU,2020-06-14 01:59:55,53.6,91.39,69.8,60,0,2.24
293,Watsa,CD,2020-06-14 01:59:56,3.04,29.54,62.83,100,99,2.53
294,Westport,US,2020-06-14 01:59:56,41.14,-73.36,62.01,56,0,12.03
295,Manggar,ID,2020-06-14 01:59:56,-2.88,108.27,84.9,75,2,16.35
296,Hasaki,JP,2020-06-14 01:59:56,35.73,140.83,73.0,100,75,2.24
297,Pishin,PK,2020-06-14 01:59:57,30.58,67.0,75.6,15,0,2.71
298,Copiapo,CL,2020-06-14 01:59:57,-27.37,-70.33,53.6,93,90,3.36
299,Mabaruma,GY,2020-06-14 01:59:57,8.2,-59.78,76.03,91,100,3.15
300,Sainte-Suzanne,RE,2020-06-14 01:59:57,-20.91,55.61,66.2,77,2,3.36
301,Katsuura,JP,2020-06-14 01:59:57,35.13,140.3,73.0,94,90,1.12
302,Aklavik,CA,2020-06-14 01:59:58,68.22,-135.01,75.2,36,75,10.29
303,Tautira,PF,2020-06-14 01:59:58,-17.73,-149.15,87.8,62,20,4.7
304,Coban,GT,2020-06-14 01:59:58,15.48,-90.37,61.32,98,91,0.38
