City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,rainfall 1hr,snowfall 1hr,Date
151,Nyurba,RU,63.28,118.33,45.5,94,2,1.77,clear sky,0.0,0.0,2020-06-14 19:27:45
152,Chizhou,CN,30.66,117.48,77.9,91,99,1.12,overcast clouds,0.0,0.0,2020-06-14 19:28:12
153,Amarante Do Maranhao,BR,-5.57,-46.74,86.07,60,10,4.99,clear sky,0.0,0.0,2020-06-14 19:28:12
154,Ancud,CL,-41.87,-73.82,51.01,100,90,5.82,overcast clouds,0.0,0.0,2020-06-14 19:28:13
155,Kruisfontein,ZA,-34.0,24.73,51.44,45,0,5.1,clear sky,0.0,0.0,2020-06-14 19:28:13
156,Linhai,CN,28.85,121.12,79.0,92,100,4.0,overcast clouds,0.0,0.0,2020-06-14 19:28:13
157,La Rioja,ES,42.25,-2.5,68.0,52,86,4.7,light rain,0.25,0.0,2020-06-14 19:26:02
158,Dikson,RU,73.51,80.55,31.66,95,0,15.75,clear sky,0.0,0.0,2020-06-14 19:28:14
159,Glogow,PL,51.66,16.08,70.0,50,16,1.01,few clouds,0.0,0.0,2020-06-14 19:28:14
160,Mahanoro,MG,-19.9,48.8,65.14,90,41,8.72,light rain,0.12,0.0,2020-06-14 19:28:14
161,Georgetown,MY,5.41,100.34,82.4,78,20,3.36,few clouds,0.0,0.0,2020-06-14 19:28:15
162,Jensen Beach,US,27.25,-80.23,87.01,62,40,8.05,thunderstorm,0.0,0.0,2020-06-14 19:28:15
163,Toamasina,MG,-18.17,49.38,68.0,94,75,6.93,shower rain,0.0,0.0,2020-06-14 19:28:15
164,Longyearbyen,SJ,78.22,15.64,35.6,93,75,6.93,light rain,0.0,0.0,2020-06-14 19:26:56
165,Makokou,GA,0.57,12.86,73.29,90,100,2.53,light rain,0.64,0.0,2020-06-14 19:28:16
166,Provideniya,RU,64.38,-173.3,46.4,75,100,4.47,overcast clouds,0.0,0.0,2020-06-14 19:28:16
167,Tilaran,CR,10.47,-84.97,82.4,83,75,9.17,light rain,0.0,0.0,2020-06-14 19:28:16
168,Padang,ID,-0.95,100.35,79.88,77,65,2.46,broken clouds,0.0,0.0,2020-06-14 19:24:09
169,High Rock,BS,26.62,-78.28,84.2,74,75,11.41,shower rain,0.0,0.0,2020-06-14 19:28:17
170,Vikulovo,RU,56.82,70.61,43.57,73,0,7.9,clear sky,0.0,0.0,2020-06-14 19:28:17
171,Alekseyevsk,RU,57.84,108.35,57.4,91,58,4.65,light rain,0.22,0.0,2020-06-14 19:23:56
172,Vila Franca Do Campo,PT,37.72,-25.43,62.6,72,40,11.41,light intensity shower rain,0.0,0.0,2020-06-14 19:28:17
173,Saskylakh,RU,71.92,114.08,48.33,57,82,8.3,broken clouds,0.0,0.0,2020-06-14 19:28:18
174,Suhbaatar,MN,50.23,106.21,62.73,45,0,3.13,clear sky,0.0,0.0,2020-06-14 19:28:18
175,Winchester,GB,51.07,-1.32,66.2,59,20,6.93,few clouds,0.0,0.0,2020-06-14 19:28:18
176,Kaitangata,NZ,-46.28,169.85,42.01,67,100,3.0,overcast clouds,0.0,0.0,2020-06-14 19:26:54
177,Itarema,BR,-2.92,-39.92,82.18,78,38,11.83,light rain,0.32,0.0,2020-06-14 19:28:19
178,Iracoubo,GF,5.48,-53.2,82.29,80,78,5.46,light rain,0.9,0.0,2020-06-14 19:28:19
179,Tuktoyaktuk,CA,69.45,-133.04,60.8,55,20,11.41,few clouds,0.0,0.0,2020-06-14 19:28:19
180,Nurlat,RU,54.43,50.81,48.87,89,0,3.76,clear sky,0.0,0.0,2020-06-14 19:28:19
181,Bontang,ID,0.13,117.5,77.83,85,39,3.51,scattered clouds,0.0,0.0,2020-06-14 19:28:20
182,Nioro,GM,13.35,-15.75,102.15,23,14,8.88,few clouds,0.0,0.0,2020-06-14 19:28:20
183,Vestmanna,FO,62.16,-7.17,50.0,87,80,14.99,broken clouds,0.0,0.0,2020-06-14 19:28:20
184,Mezen,RU,65.85,44.24,60.94,62,98,7.02,overcast clouds,0.0,0.0,2020-06-14 19:28:20
185,Sitka,US,57.05,-135.33,50.0,87,90,4.7,overcast clouds,0.0,0.0,2020-06-14 19:28:21
186,Mattru,SL,7.62,-11.83,75.47,93,93,3.71,overcast clouds,0.0,0.0,2020-06-14 19:24:25
187,Coahuayana,MX,18.73,-103.68,80.6,65,40,11.41,scattered clouds,0.0,0.0,2020-06-14 19:28:21
188,Camargo,MX,27.67,-105.17,87.64,15,0,7.18,clear sky,0.0,0.0,2020-06-14 19:28:21
189,Codrington,AU,-38.27,141.97,53.38,92,87,13.73,overcast clouds,0.0,0.0,2020-06-14 19:28:22
190,Hervey Bay,AU,-25.3,152.85,66.0,95,100,3.0,light rain,0.93,0.0,2020-06-14 19:27:58
191,Whitehorse,CA,60.72,-135.05,55.4,66,75,2.24,broken clouds,0.0,0.0,2020-06-14 19:24:44
192,Pavlivka,UA,49.44,28.46,63.82,95,100,6.53,overcast clouds,0.0,0.0,2020-06-14 19:28:22
193,Rambha,IN,19.52,85.1,85.46,78,100,10.0,overcast clouds,0.0,0.0,2020-06-14 19:28:23
194,Arcos De La Frontera,ES,36.75,-5.81,71.01,56,0,8.05,clear sky,0.0,0.0,2020-06-14 19:28:23
